grade;city_birth;parents_stem;which_parent_stem;parent_profession;number_science_classes;number_math_classes;number_tech_classes;number_egr_classes;math_worst;math_career;not_enjoy_math;good_at_math;decentschool_badmath;higherlevel_math;good_math_grades;interesting_math;future_math;math_courses;sure_science;science_career;science_outsideofschool;science_pay;science_job;good_science;decentschool_badscience;higherlevel_science;science_courses;new_products;engineering_everyday;enjoy_building;interested_machines;career_design;curiosity_tech;future_innovation;mathscience_useful;success_engineering;i_can_build;opportunity_engineering;prediction_literature;prediction_math;prediction_science;future_math_classes;future_science_classes;future_egr_classes;college;what_major;why_not_college;plan_after_school;other_plan_afterschool;frequency_learning_stem;why_no_chances;opportunities_women_stem;reason_opportunities_stem;contribute_community;resolve_problems_community;external_help;leader_community;contribute_community
3;rural;no;NA;NA;2;2;3;1;C;A;C;D;C;D;D;D;D;C;C;D;C;C;C;D;B;C;C;E;E;E;D;C;E;D;C;E;D;E;A;A;A;NA;C;C;si;ingenieria en sistemas;NA;B;NA;5;NA;si;porque tenemos los mismos derechos;D;E;C;E;E
5 mag;urbano;no;NA;padre piloto madre ama de casa;5;4;6;4;D;E;B;B;E;E;B;E;D;E;B;D;D;E;D;D;E;D;E;D;E;E;E;B;E;E;E;D;D;E;B;B;NA;A;A;A;si;psicologia licenciatura doctorado;NA;B;NA;3;NA;no;porque no les dan la misma oportunidad;D;D;E;D;D
5 mag;urbano;NA;NA;NA;1;1;2;NA;D;B;B;A;E;B;B;D;C;E;B;D;D;D;D;C;D;D;E;E;D;D;D;B;E;E;E;B;B;E;B;B;NA;A;A;A;si;psicologia;NA;B;NA;3;NA;si;ambos tenemos la capacidad de estudiar CTIM;D;D;B;B;E
5 mag;urbano;no;NA;papa secretario mama maestra;4;3;5;3;D;E;D;C;D;E;B;D;D;E;B;C;D;D;D;E;D;C;E;D;E;D;D;D;E;E;D;C;D;E;B;B;NA;A;B;B;si;chef profesional;NA;D;seguir chef;2;porque casi no recibo tanto porque me cuestan esos cursos;no;porque los hombres tienen mas capacidad de encontrar;D;D;D;E;D
5 mag;rural;NA;NA;NA;6;NA;1;NA;C;B;C;A;D;A;B;B;D;C;C;C;B;C;D;D;C;B;C;D;C;D;C;C;C;B;D;C;C;C;B;B;NA;C;C;C;NA;NA;NA;B;NA;1;NA;si;porque todos tenemos las mismas capacidades aunque en algunos casos sea lento el entendimiento;D;D;C;C;C
5 mag;rural;NA;NA;NA;6;NA;1;NA;B;B;B;D;C;D;C;D;E;E;C;E;E;C;D;D;C;D;E;E;E;E;E;E;E;E;D;D;D;E;B;B;NA;A;A;A;si;ingenieria;NA;B;NA;3;NA;si;todos tenemos los mismos derechos;D;D;C;C;D
5 mag;urbano;NA;NA;padre maestro madre doctora;6;NA;1;NA;B;B;B;D;B;B;D;D;D;D;D;D;D;D;D;E;B;C;E;E;D;D;E;D;E;E;E;C;D;D;A;A;NA;B;A;B;si;psicologia;NA;B;NA;3;NA;si;todos somos capaces de inventar cosas;D;D;B;C;D
5 mag;urbano;si;padre;contador;6;NA;1;NA;C;B;C;C;D;D;B;C;D;D;C;B;C;D;C;C;C;B;B;D;D;C;B;C;D;D;D;B;C;C;B;B;NA;A;A;C;si;terapeuta;NA;B;NA;4;NA;si;porque todos tenemos los mismos derechos y oportunidades;D;D;D;C;D
5 mag;urbano;no;NA;NA;4;5;6;2;A;A;D;D;E;A;D;E;E;E;D;E;E;E;E;D;D;A;E;E;E;D;A;E;E;E;D;A;D;D;NA;NA;NA;NA;A;NA;si;NA;para tener un nivel mas avanzado en el estudio y poder ayudar a las personas que lo necesitan y tener un mejor trabajo;B;NA;4;NA;si;porque todos tienen esa capacidad de hacerlo;C;E;A;E;E
5 mag;urbano;si;padre;maestro agronomia etc.;7;10;2;1;D;B;A;B;D;B;D;D;D;B;D;C;D;D;D;D;B;D;D;D;C;D;D;B;D;D;D;D;D;B;B;NA;NA;B;A;B;si;psicopedagogia infantil;NA;B;NA;5;NA;si;porque tenemos las mismas capacidades;D;D;D;D;B
